#,,distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
716,716,0.208191,57,19,1.335001,2,0.693147,5,1.386294,30.12,18371
717,717,0.515358,57,19,1.335001,1,0.693147,6.78233,1.386294,30.1,5918
718,718,0.822526,57,19,1.335001,0,0.693147,5.477226,1.386294,30.11,0
719,719,1.129693,57,19,1.335001,0,0.693147,5.291503,1.386294,30.15,0
720,720,1.023932,55,19,1.193922,0,0.693147,4.472136,1.386294,30.17,0
721,721,0.716239,55,19,1.193922,0,1.386294,3.162278,1.386294,30.15,0
722,722,0.408547,55,19,1.193922,2,2.079442,2.645751,1.386294,30.14,191
723,723,0.100855,55,19,1.193922,2,1.791759,4.123106,1.791759,30.16,14064
724,724,0.206838,55,19,1.193922,2,1.386294,5,1.94591,30.12,20574
725,725,0.51453,55,19,1.193922,2,1.791759,5,1.386294,30.09,5548
726,726,0.822222,55,19,1.193922,1,0.693147,5.744563,1.386294,30.11,0
727,727,1.129915,55,19,1.193922,0,1.098612,4.123106,1.386294,30.13,0
728,728,1.025685,53,28,2.066863,0,1.791759,2.645751,1.386294,30.13,0
729,729,0.717466,53,28,2.066863,2,2.079442,2,1.94591,30.13,0
730,730,0.409247,53,28,2.066863,4,2.463853,2,1.386294,30.14,0
731,731,0.101027,53,28,2.066863,4,2.197225,2,2.079442,30.18,2184
732,732,0.207192,53,28,2.066863,4,2.079442,3.741657,2.302585,30.14,2907
733,733,0.515411,53,28,2.066863,4,1.791759,4.472136,2.484907,30.13,469
734,734,0.82363,53,28,2.066863,3,0.693147,4.472136,2.302585,30.12,0
735,735,1.131849,53,28,2.066863,4,0.693147,4.472136,2.302585,30.15,0
736,736,1.027444,56,28,2.066863,4,0.693147,4.123106,2.302585,30.16,0
737,737,0.718696,56,28,2.066863,4,0.693147,3.741657,2.484907,30.17,0
738,738,0.409949,56,28,2.066863,4,1.609438,2,2.197225,30.18,0
739,739,0.101201,56,28,2.066863,3,1.098612,4.358899,2.302585,30.2,10230
740,740,0.207547,56,28,2.066863,1,0.693147,5,1.791759,30.14,19145
741,741,0.516295,56,28,2.066863,2,0.693147,5.477226,2.397895,30.15,5666
742,742,0.825043,56,28,2.066863,1,0.693147,3.741657,1.791759,30.16,0
743,743,1.133791,56,28,2.066863,0,0.693147,3.162278,1.386294,30.19,0
744,744,1.030928,53,33,1.547563,0,1.386294,3.162278,1.791759,30.17,0
745,745,0.721649,53,33,1.547563,4,1.94591,2.645751,1.386294,30.18,0
746,746,0.412371,53,33,1.547563,4,2.484907,2,1.386294,30.2,0
747,747,0.103093,53,33,1.547563,4,2.351375,2,1.386294,30.2,5857
748,748,0.206186,53,33,1.547563,3,1.94591,4.472136,1.791759,30.12,14677
749,749,0.515464,53,33,1.547563,4,1.791759,5.567764,1.386294,30.1,3724
750,750,0.824742,53,33,1.547563,3,1.098612,3.741657,1.94591,30.09,0
751,751,1.134021,53,33,1.547563,3,1.098612,4.123106,2.079442,30.08,0
752,752,1.032702,54,19,2.128232,2,0.693147,4.795832,2.484907,30.06,0
753,753,0.722892,54,19,2.128232,2,0.693147,4.472136,2.639057,30.05,0
754,754,0.413081,54,19,2.128232,4,1.94591,4.472136,2.639057,30.06,188
755,755,0.10327,54,19,2.128232,4,1.94591,4.795832,2.079442,30.07,13982
756,756,0.20654,54,19,2.128232,0,1.609438,6,1.94591,30.03,21285
757,757,0.516351,54,19,2.128232,0,1.386294,5.744563,1.386294,30,5652
758,758,0.826162,54,19,2.128232,0,1.386294,4.123106,1.791759,30.02,0
759,759,1.135972,54,19,2.128232,0,1.098612,4.795832,1.386294,30.08,0
760,760,1.036207,54,19,1.504077,0,0.693147,4.123106,1.791759,30.11,0
761,761,0.725862,54,19,1.504077,0,0.693147,3.316625,1.791759,30.14,0
762,762,0.415517,54,19,1.504077,1,1.791759,3.741657,1.94591,30.17,117
